id,leiden_label,infomap_label,tsne-one,tsne-two
59859,0,0,7.675877,-15.077305
59881,0,0,-11.669293,-3.0457234
59904,1,0,23.592348,14.922177
59931,0,0,-35.469856,21.011932
59951,0,0,-27.001373,-16.435999
60000,1,0,7.1359067,12.810082
180017,0,0,-10.095194,4.4108496
170243,0,0,4.9126434,-28.20053
170244,0,0,-19.139439,-30.984947
200322,1,0,12.700412,-2.2097507
170352,2,2,-43.8463,35.70337
200382,0,0,-11.5464,-25.31838
180134,1,0,28.969656,-5.211379
170425,-1,-1,11.130825,-17.229952
170454,2,0,2.472683,20.84523
170478,0,0,2.71021,-13.372374
180188,1,3,33.89462,14.168749
170536,2,2,-45.034584,36.486427
170557,2,0,-24.073671,30.315296
200582,1,0,15.021405,2.955092
180215,0,0,-0.6343071,-20.03111
180301,0,0,-20.117357,-33.43676
170741,1,0,7.399855,29.907166
180311,2,0,1.1323066,21.573204
170780,2,0,-8.58037,28.283077
200922,1,1,25.12294,48.383163
200958,1,0,15.967119,-13.192353
180354,-1,-1,0.18763795,-22.843302
200982,2,0,-14.337211,14.144895
180399,2,0,-12.942274,14.544605
170974,2,0,-30.409103,11.869477
171048,0,0,-16.847883,-13.550904
171066,2,0,-15.357933,24.329716
201293,0,0,-17.041115,-23.625559
201326,2,0,-0.85844284,30.99094
201385,2,2,-21.856426,41.76557
171215,1,1,37.428535,43.352467
180515,0,0,-25.057728,9.524877
180552,0,0,-6.1000013,8.202473
201557,0,0,-1.7568995,-15.109097
171418,0,0,-14.520804,-2.2674015
171466,2,0,-9.218715,12.063217
201702,0,0,-8.070835,-15.270236
201745,1,1,29.477716,22.121918
201760,0,0,-15.790403,-4.6313214
201813,0,0,5.860329,-25.462284
201829,0,0,-6.4960613,-10.332551
180681,1,3,39.70368,18.635721
201884,0,0,21.322773,-5.0114675
171713,1,0,23.890892,-3.3384817
202202,2,2,-19.889536,33.144123
202231,0,0,-3.2782183,-9.478376
171942,1,1,27.985695,41.464718
180841,1,1,22.701046,46.56546
180863,0,0,0.55505574,4.3947797
202366,1,0,16.336056,19.981905
180882,1,0,16.962988,31.912514
202459,1,0,21.462936,15.391896
202482,0,0,-21.86586,-25.442839
202593,1,0,29.269142,-4.3675327
172234,0,0,-17.251526,-10.105278
172235,0,0,27.619152,-21.970167
202667,2,2,-33.148636,26.988678
172396,0,0,-31.934912,-8.434102
202858,2,-1,-7.596785,29.755373
172608,0,0,-11.03106,-6.662058
203164,-1,-1,32.38958,-24.256712
172736,0,0,-17.32322,3.6031814
46972,2,0,-1.3902246,25.674341
46994,0,-1,3.5338118,-60.077255
47011,1,1,30.104351,46.453354
47025,2,2,3.3816524,25.523289
47064,-1,-1,16.517145,-3.018857
47121,2,0,-15.19895,20.36933
47238,-1,-1,15.952225,-16.041681
47296,2,-1,-4.718536,31.41087
47379,0,0,1.3014834,-57.333782
47416,1,1,13.391272,44.849033
47480,0,0,-13.3349285,-17.91943
47600,1,1,32.220215,42.402504
47610,0,4,4.902572,-56.12927
47619,0,0,-7.175006,-44.382797
47631,1,1,15.717455,52.75564
47638,1,1,34.316826,42.56285
47677,0,0,-6.6638637,-13.768284
47733,0,-1,45.23636,-4.967278
47792,1,0,8.845021,23.639587
